الحي,الغرض,عدد العقارات
 حي الخير ,تجاري,4
 حي الخير ,تجاري وسكني,4
 حي الخير ,سكني,30
 حي الرمال ,تجاري,16
 حي الرمال ,تجاري وسكني,14
 حي الرمال ,سكني,34
 حي العارض ,بدون غرض,2
 حي العارض ,تجاري,2
 حي العارض ,تجاري وسكني,4
 حي العارض ,سكني,30
 حي القادسية ,بدون غرض,1
 حي القادسية ,تجاري,9
 حي القادسية ,تجاري وسكني,10
 حي القادسية ,سكني,13
 حي المهدية ,بدون غرض,3
 حي المهدية ,تجاري,8
 حي المهدية ,تجاري وسكني,18
 حي المهدية ,سكني,83
 حي النرجس ,بدون غرض,10
 حي النرجس ,تجاري,10
 حي النرجس ,تجاري وسكني,15
 حي النرجس ,سكني,81
 حي اليرموك ,تجاري,8
 حي اليرموك ,تجاري وسكني,10
 حي اليرموك ,سكني,17
 حي ظهرة لبن ,تجاري,4
 حي ظهرة لبن ,تجاري وسكني,24
 حي ظهرة لبن ,سكني,58
 حي عريض ,تجاري,1
 حي عريض ,تجاري وسكني,12
 حي عريض ,سكني,31
 ضاحية نمار ,بدون غرض,2
 ضاحية نمار ,تجاري,2
 ضاحية نمار ,تجاري وسكني,6
 ضاحية نمار ,سكني,18
